pub_date,keyword_name,keyword_value,score,headline_main
 2016-07-17T00:00:00Z,glocations,Turkey,2.7877496e-12,As  Turkey  Coup  Unfolded,  ‘the  Whole  Night  Felt  Like  Doomsday’ 
 2016-07-16T18:53:21+0000,glocations,IncirlikAirBase(Turkey),2.5842878e-12,Turkey  Interrupts  U.S.  Air  Missions  Against  ISIS  at  Major  Base 
 2016-07-18T00:00:00Z,glocations,BatonRouge(La),2.5549766e-12,Baton  Rouge  Shooting  Jolts  a  Nation  on  Edge 
 2016-07-01T05:22:12Z,glocations,France,6.992687e-13,1916:  The  Battle  of  the  Somme 
 2016-06-28T00:00:00Z,glocations,Lebanon,5.6757404e-13,Elaborate  Suicide  Attack  Hits  Christian  Village  in  Lebanon 
 2016-07-01T17:28:18+0000,glocations,Dhaka(Bangladesh),4.955889e-13,Bangladeshi  Troops  Move  to  End  Hostage  Standoff 
 2016-06-30T00:00:00Z,glocations,Turkey,4.060219e-13,Turkey,  a  Conduit  for  Fighters  Joining  ISIS,  Begins  to  Feel  Its  Wrath 
 2016-06-24T00:00:00Z,glocations,Venezuela,3.6351843e-13,The  Times  on  the  Air:  Venezuelan  Hunger,  American  Gun  Laws  and  More 
 2016-06-27T00:00:00Z,glocations,Pakistan,2.895168e-13,Making  Art  From  Pakistan’s  Chaos 
 2016-06-30T11:00:25+0000,glocations,Guatemala,2.1379984e-13,The  Secrets  in  Guatemala’s  Bones 
 2016-06-19T00:00:00Z,glocations,Iraq,1.6624706e-13,A  War  of  Brothers  in  Iraq:  ‘I  Will  Kill  Him  With  My  Own  Hands’ 
 2016-06-11T00:00:00Z,glocations,Chicago(Ill),1.1541617e-13,Gang  Violence  in  Chicago 
 2016-06-13T00:00:00Z,glocations,Orlando(Fla),1.02998203e-13,The  National  Tragedy  in  Orlando 
 2016-06-11T23:11:46+0000,glocations,Bangladesh,7.820776e-14,Bangladesh  Arrests  Over  3,000  to  Halt  Attacks 
